;A2A;1.466;1.474;1.446;+0.013;+0.93%;13.22M;12:35:25;;
;Amplifon;29.700;30.320;29.700;-0.160;-0.54%;611.41K;12:35:33;;
;Assicurazioni Generali;181.850;182.450;177.350;+0.5700;+3.24%;5.58M;12:35:42;;
;Azimut Holding;20.050;20.150;19.790;+0.520;+2.66%;937.63K;12:35:28;;
;Banca Generali;29.75;29.89;28.94;+0.93;+3.23%;401.74K;12:35:14;;
;Banca Mediolanum;8.446;8.468;8.200;+0.288;+3.53%;1.89M;12:35:51;;
;Banco Bpm;3.760;3.811;3.712;+0.092;+2.51%;14.78M;12:35:08;;
;Bper Banca;2.380;2.394;2.305;+0.111;+4.89%;15.13M;12:35:12;;
;Buzzi Unicem;22.190;22.390;21.730;+0.640;+2.97%;506.48K;12:35:52;;
;Campari;108.800;109.450;107.500;-0.0050;-0.05%;1.82M;12:35:43;;
;CNH Industrial NV;13.665;13.740;13.315;+0.475;+3.60%;3.02M;12:35:12;;
;Diasorin;102.45;103.10;100.75;+1.25;+1.24%;151.77K;12:35:40;;
;Enel;5.480;5.504;5.403;+0.092;+1.71%;35.21M;12:35:09;;
;Eni SpA;12.464;12.686;12.260;+0.258;+2.11%;14.23M;12:35:54;;
;ERG;27.120;27.460;27.120;-0.200;-0.73%;209.89K;12:35:36;;
;Ferrari NV;246.90;248.10;244.00;+3.00;+1.23%;283.99K;12:35:56;;
;FinecoBank;139.400;141.100;134.000;+0.7150;+5.41%;5.16M;12:35:27;;
;Hera;2.494;2.520;2.469;+0.020;+0.81%;4.10M;12:35:14;;
;Interpump;51.050;51.150;49.940;1.390;+2.80%;158.32K;12:35:52;;
;Intesa Sanpaolo;23.550;23.720;23.065;+0.0800;+3.52%;175.41M;12:35:46;;
;Inwit;11.470;11.610;11.315;+0.105;+0.92%;1.43M;12:35:40;;
;Italgas;5.570;5.590;5.530;-0.005;-0.09%;1.69M;12:35:37;;
;Iveco NV;8.689;8.766;8.566;+0.167;+1.96%;816.00K;12:35:36;;
;Leonardo;10.845;10.945;10.510;+0.310;+2.94%;2.47M;12:35:32;;
;Mediobanca;9.270;9.324;8.998;+0.314;+3.51%;3.80M;12:35:48;;
;Moncler SpA;60.94;61.36;60.08;+1.28;+2.15%;608.02K;12:35:18;;
;Nexi;7.380;7.414;7.146;+0.290;+4.09%;3.02M;12:35:55;;
;Pirelli & C;45.120;45.670;44.730;+0.0580;+1.30%;2.00M;12:35:58;;
;Poste Italiane;9.416;9.418;9.238;+0.310;+3.40%;3.81M;12:35:58;;
;Prysmian;368.300;368.500;362.500;+0.7900;+2.19%;563.80K;12:35:47;;
;Recordati;39.07;39.19;38.68;+0.53;+1.38%;160.19K;12:35:03;;
;Saipem;13.280;13.360;12.620;+0.0935;+7.57%;56.15M;12:35:44;;
;Snam;4.777;4.790;4.738;+0.027;+0.57%;5.92M;12:35:10;;
;Stellantis NV;16.186;16.318;16.014;+0.340;+2.15%;9.70M;12:35:12;;
;STMicroelectronics;45.915;46.570;45.600;+0.530;+1.17%;2.47M;12:35:18;;
;Telecom Italia;0.2900;0.2916;0.2869;+0.0020;+0.69%;106.64M;12:35:18;;
;Tenaris;13.70;13.91;13.31;+0.44;+3.36%;3.38M;12:35:07;;
;Terna;7.342;7.426;7.312;-0.048;-0.65%;4.06M;12:35:22;;
;UniCredit;174.200;175.560;165.700;11.340;+6.96%;31.04M;12:35:54;;
;Unipol Gruppo;;;;;;;;;
