,2023-06-04,2023-07-04,2023-08-03,2023-09-02,2023-10-02,2023-11-01,2023-12-01,2023-12-31,2024-01-30,2024-02-29,2024-03-30
MAA.N,0.005,0.0,0.005,0.005,0.005,0.005,0.003,0.004,0.002,0.004,0.001
ESS.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
JBHT.OQ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
DOV.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
VFC.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMCSA.OQ,0.029,0.026,0.027,0.027,0.032,0.023,0.035,0.025,0.018,0.013,0.021
PGR.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMA.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD.N,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
APA.OQ,0.019,0.019,0.021,0.024,0.02,0.024,0.022,0.026,0.022,0.025,0.026
PPG.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MS.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITW.N,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001
FICO.N,0.012,0.02,0.015,0.013,0.01,0.017,0.012,0.022,0.02,0.022,0.017
FAST.OQ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
UPS.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
HUM.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRAY.OQ,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CPT.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CPB.N,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
TJX.N,0.012,0.017,0.011,0.007,0.01,0.005,0.007,0.006,0.015,0.009,0.012
BAX.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CAG.N,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
WEC.N,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.067
NTAP.OQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRO.N,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CHRW.OQ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SPG.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MTB.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADI.OQ,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
BLK.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP.N,0.004,0.001,0.004,0.004,0.003,0.004,0.003,0.006,0.004,0.004,0.003
BEN.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
HWM.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
NTRS.OQ,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
ETN.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CLX.N,0.069,0.065,0.068,0.067,0.067,0.067,0.067,0.066,0.066,0.069,0.064
MSI.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MO.N,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002
CI.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DRI.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PHM.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JKHY.OQ,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
GILD.OQ,0.067,0.066,0.067,0.067,0.067,0.067,0.067,0.068,0.068,0.067,0.064
TFX.N,0.004,0.004,0.004,0.005,0.005,0.005,0.01,0.006,0.009,0.007,0.004
AON.N,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
SNA.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NVR.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TXT.N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ADSK.OQ,0.064,0.063,0.064,0.068,0.064,0.068,0.066,0.065,0.064,0.066,0.063
PTC.OQ,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001
WMT.N,0.008,0.013,0.011,0.009,0.01,0.009,0.009,0.006,0.01,0.012,0.022
MKC.N,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
CMS.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ARE.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ABT.N,0.047,0.046,0.041,0.044,0.046,0.045,0.039,0.041,0.043,0.043,0.044
K.N,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
DE.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
HSIC.OQ,0.067,0.068,0.067,0.067,0.067,0.067,0.067,0.066,0.066,0.067,0.068
KLAC.OQ,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
AMAT.OQ,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
NEM.N,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
RE.N,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
